region	product_code	product_sector	share
DE	A01	AGRI_FOOD	1.0
DE	A02	AGRI_FOOD	1.0
DE	A03	AGRI_FOOD	1.0
DE	B	EXTRACTIVE	1.0
DE	C10-12	AGRI_FOOD	1.0
DE	C13-15	OTHER_MANUFACTURING	1.0
DE	C16	OTHER_MANUFACTURING	1.0
DE	C17	OTHER_MANUFACTURING	1.0
DE	C18	OTHER_MANUFACTURING	1.0
DE	C19	OTHER_MANUFACTURING	1.0
DE	C20	OTHER_MANUFACTURING	1.0
DE	C21	OTHER_MANUFACTURING	1.0
DE	C22	OTHER_MANUFACTURING	1.0
DE	C23	OTHER_MANUFACTURING	1.0
DE	C24	BASIC_METALS	1.0
DE	C25	METAL_COMPONENTS	1.0
DE	C26_DES	NEW_OFMA	1.0
DE	C26_MON	NEW_RATV	1.0
DE	C26_OFMA_res	OTHER_MANUFACTURING	1.0
DE	C26_RATV_c	NEW_RATV	1.0
DE	C26_RATV_res	OTHER_MANUFACTURING	1.0
DE	C27_BAT	NEW_ELMA	1.0
DE	C27_ELMA_c	NEW_ELMA	1.0
DE	C27_ELMA_res	OTHER_MANUFACTURING	1.0
DE	C27_HPP	NEW_ELMA	1.0
DE	C28	OTHER_MANUFACTURING	1.0
DE	C29	OTHER_MANUFACTURING	1.0
DE	C30	OTHER_MANUFACTURING	1.0
DE	C31_32	OTHER_MANUFACTURING	1.0
DE	C33_ELMA	REF_ELMA	1.0
DE	C33_OFMA	REF_OFMA	1.0
DE	C33_RATV	REF_RATV	1.0
DE	C33_res	OTHER_SERVICES	1.0
DE	D35	UTIL_WASTE	1.0
DE	E36	UTIL_WASTE	1.0
DE	E37-E39_ELMA	INC_EE	0.0
DE	E37-E39_ELMA	REC_EE	1.0
DE	E37-E39_OFMA	INC_EE	0.6392529790099168
DE	E37-E39_OFMA	REC_EE	0.36074702099008316
DE	E37-E39_RATV	INC_EE	0.6435172556755138
DE	E37-E39_RATV	REC_EE	0.3564827443244863
DE	E37-E39_res	UTIL_WASTE	1.0
DE	F	CONSTRUCTION	1.0
DE	G45	TRADE	1.0
DE	G46_ELMA	REF_ELMA	1.0
DE	G46_OFMA	REF_OFMA	1.0
DE	G46_RATV	REF_RATV	1.0
DE	G46_res	TRADE	1.0
DE	G47_ELMA	REU_ELMA	1.0
DE	G47_OFMA	REU_OFMA	1.0
DE	G47_RATV	REU_RATV	1.0
DE	G47_res	TRADE	1.0
DE	H49	TRANSPORT	1.0
DE	H50	TRANSPORT	1.0
DE	H51	TRANSPORT	1.0
DE	H52	TRANSPORT	1.0
DE	H53	TRANSPORT	1.0
DE	I	OTHER_SERVICES	1.0
DE	J58	OTHER_SERVICES	1.0
DE	J59_60	OTHER_SERVICES	1.0
DE	J61	OTHER_SERVICES	1.0
DE	J62_63	OTHER_SERVICES	1.0
DE	K64	OTHER_SERVICES	1.0
DE	K65	OTHER_SERVICES	1.0
DE	K66	OTHER_SERVICES	1.0
DE	L	OTHER_SERVICES	1.0
DE	M69_70	OTHER_SERVICES	1.0
DE	M71	OTHER_SERVICES	1.0
DE	M72	OTHER_SERVICES	1.0
DE	M73	OTHER_SERVICES	1.0
DE	M74_75	OTHER_SERVICES	1.0
DE	N77_ELMA	REU_ELMA	1.0
DE	N77_OFMA	REU_OFMA	1.0
DE	N77_RATV	REU_RATV	1.0
DE	N77_res	OTHER_SERVICES	1.0
DE	N78	OTHER_SERVICES	1.0
DE	N79	OTHER_SERVICES	1.0
DE	N80-82	OTHER_SERVICES	1.0
DE	O84	PUBLIC_SOCIAL	1.0
DE	P3_S13	P3_S13	1.0
DE	P3_S14	P3_S14	1.0
DE	P3_S15	P3_S15	1.0
DE	P51G	P51G	1.0
DE	P5M	P5M	1.0
DE	P85	PUBLIC_SOCIAL	1.0
DE	Q86	PUBLIC_SOCIAL	1.0
DE	Q87_88	PUBLIC_SOCIAL	1.0
DE	R90-92	OTHER_SERVICES	1.0
DE	R93	OTHER_SERVICES	1.0
DE	S94	OTHER_SERVICES	1.0
DE	S95_ELMA	REP_ELMA	1.0
DE	S95_OFMA	REP_OFMA	1.0
DE	S95_RATV	REP_RATV	1.0
DE	S95_res	OTHER_SERVICES	1.0
DE	S96	OTHER_SERVICES	1.0
DE	T	OTHER_SERVICES	1.0
FR	A01	AGRI_FOOD	1.0
FR	A02	AGRI_FOOD	1.0
FR	A03	AGRI_FOOD	1.0
FR	B	EXTRACTIVE	1.0
FR	C10-12	AGRI_FOOD	1.0
FR	C13-15	OTHER_MANUFACTURING	1.0
FR	C16	OTHER_MANUFACTURING	1.0
FR	C17	OTHER_MANUFACTURING	1.0
FR	C18	OTHER_MANUFACTURING	1.0
FR	C19	OTHER_MANUFACTURING	1.0
FR	C20	OTHER_MANUFACTURING	1.0
FR	C21	OTHER_MANUFACTURING	1.0
FR	C22	OTHER_MANUFACTURING	1.0
FR	C23	OTHER_MANUFACTURING	1.0
FR	C24	BASIC_METALS	1.0
FR	C25	METAL_COMPONENTS	1.0
FR	C26_DES	NEW_OFMA	1.0
FR	C26_MON	NEW_RATV	1.0
FR	C26_OFMA_res	OTHER_MANUFACTURING	1.0
FR	C26_RATV_c	NEW_RATV	1.0
FR	C26_RATV_res	OTHER_MANUFACTURING	1.0
FR	C27_BAT	NEW_ELMA	1.0
FR	C27_ELMA_c	NEW_ELMA	1.0
FR	C27_ELMA_res	OTHER_MANUFACTURING	1.0
FR	C27_HPP	NEW_ELMA	1.0
FR	C28	OTHER_MANUFACTURING	1.0
FR	C29	OTHER_MANUFACTURING	1.0
FR	C30	OTHER_MANUFACTURING	1.0
FR	C31_32	OTHER_MANUFACTURING	1.0
FR	C33_ELMA	REF_ELMA	1.0
FR	C33_OFMA	REF_OFMA	1.0
FR	C33_RATV	REF_RATV	1.0
FR	C33_res	OTHER_SERVICES	1.0
FR	D35	UTIL_WASTE	1.0
FR	E36	UTIL_WASTE	1.0
FR	E37-E39_ELMA	INC_EE	0.4200311841816537
FR	E37-E39_ELMA	REC_EE	0.5799688158183463
FR	E37-E39_OFMA	INC_EE	0.5148237015611533
FR	E37-E39_OFMA	REC_EE	0.4851762984388466
FR	E37-E39_RATV	INC_EE	0.48757882815862946
FR	E37-E39_RATV	REC_EE	0.5124211718413705
FR	E37-E39_res	UTIL_WASTE	1.0
FR	F	CONSTRUCTION	1.0
FR	G45	TRADE	1.0
FR	G46_ELMA	REF_ELMA	1.0
FR	G46_OFMA	REF_OFMA	1.0
FR	G46_RATV	REF_RATV	1.0
FR	G46_res	TRADE	1.0
FR	G47_ELMA	REU_ELMA	1.0
FR	G47_OFMA	REU_OFMA	1.0
FR	G47_RATV	REU_RATV	1.0
FR	G47_res	TRADE	1.0
FR	H49	TRANSPORT	1.0
FR	H50	TRANSPORT	1.0
FR	H51	TRANSPORT	1.0
FR	H52	TRANSPORT	1.0
FR	H53	TRANSPORT	1.0
FR	I	OTHER_SERVICES	1.0
FR	J58	OTHER_SERVICES	1.0
FR	J59_60	OTHER_SERVICES	1.0
FR	J61	OTHER_SERVICES	1.0
FR	J62_63	OTHER_SERVICES	1.0
FR	K64	OTHER_SERVICES	1.0
FR	K65	OTHER_SERVICES	1.0
FR	K66	OTHER_SERVICES	1.0
FR	L	OTHER_SERVICES	1.0
FR	M69_70	OTHER_SERVICES	1.0
FR	M71	OTHER_SERVICES	1.0
FR	M72	OTHER_SERVICES	1.0
FR	M73	OTHER_SERVICES	1.0
FR	M74_75	OTHER_SERVICES	1.0
FR	N77_ELMA	REU_ELMA	1.0
FR	N77_OFMA	REU_OFMA	1.0
FR	N77_RATV	REU_RATV	1.0
FR	N77_res	OTHER_SERVICES	1.0
FR	N78	OTHER_SERVICES	1.0
FR	N79	OTHER_SERVICES	1.0
FR	N80-82	OTHER_SERVICES	1.0
FR	O84	PUBLIC_SOCIAL	1.0
FR	P3_S13	P3_S13	1.0
FR	P3_S14	P3_S14	1.0
FR	P3_S15	P3_S15	1.0
FR	P51G	P51G	1.0
FR	P5M	P5M	1.0
FR	P85	PUBLIC_SOCIAL	1.0
FR	Q86	PUBLIC_SOCIAL	1.0
FR	Q87_88	PUBLIC_SOCIAL	1.0
FR	R90-92	OTHER_SERVICES	1.0
FR	R93	OTHER_SERVICES	1.0
FR	S94	OTHER_SERVICES	1.0
FR	S95_ELMA	REP_ELMA	1.0
FR	S95_OFMA	REP_OFMA	1.0
FR	S95_RATV	REP_RATV	1.0
FR	S95_res	OTHER_SERVICES	1.0
FR	S96	OTHER_SERVICES	1.0
FR	T	OTHER_SERVICES	1.0
IT	A01	AGRI_FOOD	1.0
IT	A02	AGRI_FOOD	1.0
IT	A03	AGRI_FOOD	1.0
IT	B	EXTRACTIVE	1.0
IT	C10-12	AGRI_FOOD	1.0
IT	C13-15	OTHER_MANUFACTURING	1.0
IT	C16	OTHER_MANUFACTURING	1.0
IT	C17	OTHER_MANUFACTURING	1.0
IT	C18	OTHER_MANUFACTURING	1.0
IT	C19	OTHER_MANUFACTURING	1.0
IT	C20	OTHER_MANUFACTURING	1.0
IT	C21	OTHER_MANUFACTURING	1.0
IT	C22	OTHER_MANUFACTURING	1.0
IT	C23	OTHER_MANUFACTURING	1.0
IT	C24	BASIC_METALS	1.0
IT	C25	METAL_COMPONENTS	1.0
IT	C26_DES	NEW_OFMA	1.0
IT	C26_LAP	NEW_OFMA	1.0
IT	C26_MON	NEW_RATV	1.0
IT	C26_OFMA_c	NEW_OFMA	1.0
IT	C26_OFMA_res	OTHER_MANUFACTURING	1.0
IT	C26_PRI	NEW_OFMA	1.0
IT	C26_RATV_c	NEW_RATV	1.0
IT	C26_RATV_res	OTHER_MANUFACTURING	1.0
IT	C27_BAT	NEW_ELMA	1.0
IT	C27_ELMA_c	NEW_ELMA	1.0
IT	C27_ELMA_res	OTHER_MANUFACTURING	1.0
IT	C27_HPP	NEW_ELMA	1.0
IT	C28	OTHER_MANUFACTURING	1.0
IT	C29	OTHER_MANUFACTURING	1.0
IT	C30	OTHER_MANUFACTURING	1.0
IT	C31_32	OTHER_MANUFACTURING	1.0
IT	C33_ELMA	REF_ELMA	1.0
IT	C33_OFMA	REF_OFMA	1.0
IT	C33_RATV	REF_RATV	1.0
IT	C33_res	OTHER_SERVICES	1.0
IT	D35	UTIL_WASTE	1.0
IT	E36	UTIL_WASTE	1.0
IT	E37-E39_ELMA	INC_EE	0.03408578784243792
IT	E37-E39_ELMA	REC_EE	0.965914212157562
IT	E37-E39_OFMA	INC_EE	0.9091409667833834
IT	E37-E39_OFMA	REC_EE	0.09085903321661667
IT	E37-E39_RATV	INC_EE	0.8934273316443557
IT	E37-E39_RATV	REC_EE	0.10657266835564441
IT	E37-E39_res	UTIL_WASTE	1.0
IT	F	CONSTRUCTION	1.0
IT	G45	TRADE	1.0
IT	G46_ELMA	REF_ELMA	1.0
IT	G46_OFMA	REF_OFMA	1.0
IT	G46_RATV	REF_RATV	1.0
IT	G46_res	TRADE	1.0
IT	G47_ELMA	REU_ELMA	1.0
IT	G47_OFMA	REU_OFMA	1.0
IT	G47_RATV	REU_RATV	1.0
IT	G47_res	TRADE	1.0
IT	H49	TRANSPORT	1.0
IT	H50	TRANSPORT	1.0
IT	H51	TRANSPORT	1.0
IT	H52	TRANSPORT	1.0
IT	H53	TRANSPORT	1.0
IT	I	OTHER_SERVICES	1.0
IT	J58	OTHER_SERVICES	1.0
IT	J59_60	OTHER_SERVICES	1.0
IT	J61	OTHER_SERVICES	1.0
IT	J62_63	OTHER_SERVICES	1.0
IT	K64	OTHER_SERVICES	1.0
IT	K65	OTHER_SERVICES	1.0
IT	K66	OTHER_SERVICES	1.0
IT	L	OTHER_SERVICES	1.0
IT	M69_70	OTHER_SERVICES	1.0
IT	M71	OTHER_SERVICES	1.0
IT	M72	OTHER_SERVICES	1.0
IT	M73	OTHER_SERVICES	1.0
IT	M74_75	OTHER_SERVICES	1.0
IT	N77_ELMA	REU_ELMA	1.0
IT	N77_OFMA	REU_OFMA	1.0
IT	N77_RATV	REU_RATV	1.0
IT	N77_res	OTHER_SERVICES	1.0
IT	N78	OTHER_SERVICES	1.0
IT	N79	OTHER_SERVICES	1.0
IT	N80-82	OTHER_SERVICES	1.0
IT	O84	PUBLIC_SOCIAL	1.0
IT	P3_S13	P3_S13	1.0
IT	P3_S14	P3_S14	1.0
IT	P3_S15	P3_S15	1.0
IT	P51G	P51G	1.0
IT	P5M	P5M	1.0
IT	P85	PUBLIC_SOCIAL	1.0
IT	Q86	PUBLIC_SOCIAL	1.0
IT	Q87_88	PUBLIC_SOCIAL	1.0
IT	R90-92	OTHER_SERVICES	1.0
IT	R93	OTHER_SERVICES	1.0
IT	S94	OTHER_SERVICES	1.0
IT	S95_ELMA	REP_ELMA	1.0
IT	S95_OFMA	REP_OFMA	1.0
IT	S95_RATV	REP_RATV	1.0
IT	S95_res	OTHER_SERVICES	1.0
IT	S96	OTHER_SERVICES	1.0
IT	T	OTHER_SERVICES	1.0
PL	A01	AGRI_FOOD	1.0
PL	A02	AGRI_FOOD	1.0
PL	A03	AGRI_FOOD	1.0
PL	B	EXTRACTIVE	1.0
PL	C10-12	AGRI_FOOD	1.0
PL	C13-15	OTHER_MANUFACTURING	1.0
PL	C16	OTHER_MANUFACTURING	1.0
PL	C17	OTHER_MANUFACTURING	1.0
PL	C18	OTHER_MANUFACTURING	1.0
PL	C19	OTHER_MANUFACTURING	1.0
PL	C20	OTHER_MANUFACTURING	1.0
PL	C21	OTHER_MANUFACTURING	1.0
PL	C22	OTHER_MANUFACTURING	1.0
PL	C23	OTHER_MANUFACTURING	1.0
PL	C24	BASIC_METALS	1.0
PL	C25	METAL_COMPONENTS	1.0
PL	C26_DES	NEW_OFMA	1.0
PL	C26_MON	NEW_RATV	1.0
PL	C26_OFMA_c	NEW_OFMA	1.0
PL	C26_OFMA_res	OTHER_MANUFACTURING	1.0
PL	C26_PRI	NEW_OFMA	1.0
PL	C26_RATV_c	NEW_RATV	1.0
PL	C26_RATV_res	OTHER_MANUFACTURING	1.0
PL	C27_BAT	NEW_ELMA	1.0
PL	C27_ELMA_c	NEW_ELMA	1.0
PL	C27_ELMA_res	OTHER_MANUFACTURING	1.0
PL	C27_HPP	NEW_ELMA	1.0
PL	C28	OTHER_MANUFACTURING	1.0
PL	C29	OTHER_MANUFACTURING	1.0
PL	C30	OTHER_MANUFACTURING	1.0
PL	C31_32	OTHER_MANUFACTURING	1.0
PL	C33_ELMA	REF_ELMA	1.0
PL	C33_OFMA	REF_OFMA	1.0
PL	C33_RATV	REF_RATV	1.0
PL	C33_res	OTHER_SERVICES	1.0
PL	D35	UTIL_WASTE	1.0
PL	E36	UTIL_WASTE	1.0
PL	E37-E39_ELMA	INC_EE	0.609295872891159
PL	E37-E39_ELMA	REC_EE	0.390704127108841
PL	E37-E39_OFMA	INC_EE	0.675349135668555
PL	E37-E39_OFMA	REC_EE	0.32465086433144497
PL	E37-E39_RATV	INC_EE	0.6934610631277653
PL	E37-E39_RATV	REC_EE	0.30653893687223466
PL	E37-E39_res	UTIL_WASTE	1.0
PL	F	CONSTRUCTION	1.0
PL	G45	TRADE	1.0
PL	G46_ELMA	REF_ELMA	1.0
PL	G46_OFMA	REF_OFMA	1.0
PL	G46_RATV	REF_RATV	1.0
PL	G46_res	TRADE	1.0
PL	G47_ELMA	REU_ELMA	1.0
PL	G47_OFMA	REU_OFMA	1.0
