map,from_item,to_item
industry_to_region,IND_DE_AGRI_FOOD,DE
industry_to_region,IND_DE_EXTRACTIVE,DE
industry_to_region,IND_DE_BASIC_METALS,DE
industry_to_region,IND_DE_METAL_COMPONENTS,DE
industry_to_region,IND_DE_NEW_ELMA,DE
industry_to_region,IND_DE_NEW_OFMA,DE
industry_to_region,IND_DE_NEW_RATV,DE
industry_to_region,IND_DE_REP_ELMA,DE
industry_to_region,IND_DE_REP_OFMA,DE
industry_to_region,IND_DE_REP_RATV,DE
industry_to_region,IND_DE_REF_ELMA,DE
industry_to_region,IND_DE_REF_OFMA,DE
industry_to_region,IND_DE_REF_RATV,DE
industry_to_region,IND_DE_REU_ELMA,DE
industry_to_region,IND_DE_REU_OFMA,DE
industry_to_region,IND_DE_REU_RATV,DE
industry_to_region,IND_DE_REC_EE,DE
industry_to_region,IND_DE_INC_EE,DE
industry_to_region,IND_DE_CONSTRUCTION,DE
industry_to_region,IND_DE_UTIL_WASTE,DE
industry_to_region,IND_DE_TRADE,DE
industry_to_region,IND_DE_TRANSPORT,DE
industry_to_region,IND_DE_OTHER_MANUFACTURING,DE
industry_to_region,IND_DE_OTHER_SERVICES,DE
industry_to_region,IND_DE_PUBLIC_SOCIAL,DE
factor_to_region,FAC_DE_LAB,DE
factor_to_region,FAC_DE_CAP,DE
institution_to_region,INS_DE_HH,DE
institution_to_region,INS_DE_GOV,DE
institution_to_region,INS_DE_INV,DE
external_to_region,EXT_DE_EXT,DE
industry_to_region,IND_FR_AGRI_FOOD,FR
industry_to_region,IND_FR_EXTRACTIVE,FR
industry_to_region,IND_FR_BASIC_METALS,FR
industry_to_region,IND_FR_METAL_COMPONENTS,FR
industry_to_region,IND_FR_NEW_ELMA,FR
industry_to_region,IND_FR_NEW_OFMA,FR
industry_to_region,IND_FR_NEW_RATV,FR
industry_to_region,IND_FR_REP_ELMA,FR
industry_to_region,IND_FR_REP_OFMA,FR
industry_to_region,IND_FR_REP_RATV,FR
industry_to_region,IND_FR_REF_ELMA,FR
industry_to_region,IND_FR_REF_OFMA,FR
industry_to_region,IND_FR_REF_RATV,FR
industry_to_region,IND_FR_REU_ELMA,FR
industry_to_region,IND_FR_REU_OFMA,FR
industry_to_region,IND_FR_REU_RATV,FR
industry_to_region,IND_FR_REC_EE,FR
industry_to_region,IND_FR_INC_EE,FR
industry_to_region,IND_FR_CONSTRUCTION,FR
industry_to_region,IND_FR_UTIL_WASTE,FR
industry_to_region,IND_FR_TRADE,FR
industry_to_region,IND_FR_TRANSPORT,FR
industry_to_region,IND_FR_OTHER_MANUFACTURING,FR
industry_to_region,IND_FR_OTHER_SERVICES,FR
industry_to_region,IND_FR_PUBLIC_SOCIAL,FR
factor_to_region,FAC_FR_LAB,FR
factor_to_region,FAC_FR_CAP,FR
institution_to_region,INS_FR_HH,FR
institution_to_region,INS_FR_GOV,FR
institution_to_region,INS_FR_INV,FR
external_to_region,EXT_FR_EXT,FR
industry_to_region,IND_IT_AGRI_FOOD,IT
industry_to_region,IND_IT_EXTRACTIVE,IT
industry_to_region,IND_IT_BASIC_METALS,IT
industry_to_region,IND_IT_METAL_COMPONENTS,IT
industry_to_region,IND_IT_NEW_ELMA,IT
industry_to_region,IND_IT_NEW_OFMA,IT
industry_to_region,IND_IT_NEW_RATV,IT
industry_to_region,IND_IT_REP_ELMA,IT
industry_to_region,IND_IT_REP_OFMA,IT
industry_to_region,IND_IT_REP_RATV,IT
industry_to_region,IND_IT_REF_ELMA,IT
industry_to_region,IND_IT_REF_OFMA,IT
industry_to_region,IND_IT_REF_RATV,IT
industry_to_region,IND_IT_REU_ELMA,IT
industry_to_region,IND_IT_REU_OFMA,IT
industry_to_region,IND_IT_REU_RATV,IT
industry_to_region,IND_IT_REC_EE,IT
industry_to_region,IND_IT_INC_EE,IT
industry_to_region,IND_IT_CONSTRUCTION,IT
industry_to_region,IND_IT_UTIL_WASTE,IT
industry_to_region,IND_IT_TRADE,IT
industry_to_region,IND_IT_TRANSPORT,IT
industry_to_region,IND_IT_OTHER_MANUFACTURING,IT
industry_to_region,IND_IT_OTHER_SERVICES,IT
industry_to_region,IND_IT_PUBLIC_SOCIAL,IT
factor_to_region,FAC_IT_LAB,IT
factor_to_region,FAC_IT_CAP,IT
institution_to_region,INS_IT_HH,IT
institution_to_region,INS_IT_GOV,IT
institution_to_region,INS_IT_INV,IT
external_to_region,EXT_IT_EXT,IT
industry_to_region,IND_PL_AGRI_FOOD,PL
industry_to_region,IND_PL_EXTRACTIVE,PL
industry_to_region,IND_PL_BASIC_METALS,PL
industry_to_region,IND_PL_METAL_COMPONENTS,PL
industry_to_region,IND_PL_NEW_ELMA,PL
industry_to_region,IND_PL_NEW_OFMA,PL
industry_to_region,IND_PL_NEW_RATV,PL
industry_to_region,IND_PL_REP_ELMA,PL
industry_to_region,IND_PL_REP_OFMA,PL
industry_to_region,IND_PL_REP_RATV,PL
industry_to_region,IND_PL_REF_ELMA,PL
industry_to_region,IND_PL_REF_OFMA,PL
industry_to_region,IND_PL_REF_RATV,PL
industry_to_region,IND_PL_REU_ELMA,PL
industry_to_region,IND_PL_REU_OFMA,PL
industry_to_region,IND_PL_REU_RATV,PL
industry_to_region,IND_PL_REC_EE,PL
industry_to_region,IND_PL_INC_EE,PL
industry_to_region,IND_PL_CONSTRUCTION,PL
industry_to_region,IND_PL_UTIL_WASTE,PL
industry_to_region,IND_PL_TRADE,PL
industry_to_region,IND_PL_TRANSPORT,PL
industry_to_region,IND_PL_OTHER_MANUFACTURING,PL
industry_to_region,IND_PL_OTHER_SERVICES,PL
industry_to_region,IND_PL_PUBLIC_SOCIAL,PL
factor_to_region,FAC_PL_LAB,PL
factor_to_region,FAC_PL_CAP,PL
institution_to_region,INS_PL_HH,PL
institution_to_region,INS_PL_GOV,PL
institution_to_region,INS_PL_INV,PL
external_to_region,EXT_PL_EXT,PL
industry_to_region,IND_SK_AGRI_FOOD,SK
industry_to_region,IND_SK_EXTRACTIVE,SK
industry_to_region,IND_SK_BASIC_METALS,SK
industry_to_region,IND_SK_METAL_COMPONENTS,SK
industry_to_region,IND_SK_NEW_ELMA,SK
industry_to_region,IND_SK_NEW_OFMA,SK
industry_to_region,IND_SK_NEW_RATV,SK
industry_to_region,IND_SK_REP_ELMA,SK
industry_to_region,IND_SK_REP_OFMA,SK
industry_to_region,IND_SK_REP_RATV,SK
industry_to_region,IND_SK_REF_ELMA,SK
industry_to_region,IND_SK_REF_OFMA,SK
industry_to_region,IND_SK_REF_RATV,SK
industry_to_region,IND_SK_REU_ELMA,SK
industry_to_region,IND_SK_REU_OFMA,SK
industry_to_region,IND_SK_REU_RATV,SK
industry_to_region,IND_SK_REC_EE,SK
industry_to_region,IND_SK_INC_EE,SK
industry_to_region,IND_SK_CONSTRUCTION,SK
industry_to_region,IND_SK_UTIL_WASTE,SK
industry_to_region,IND_SK_TRADE,SK
industry_to_region,IND_SK_TRANSPORT,SK
industry_to_region,IND_SK_OTHER_MANUFACTURING,SK
industry_to_region,IND_SK_OTHER_SERVICES,SK
industry_to_region,IND_SK_PUBLIC_SOCIAL,SK
factor_to_region,FAC_SK_LAB,SK
factor_to_region,FAC_SK_CAP,SK
institution_to_region,INS_SK_HH,SK
institution_to_region,INS_SK_GOV,SK
institution_to_region,INS_SK_INV,SK
external_to_region,EXT_SK_EXT,SK
industry_to_region,IND_REU_AGRI_FOOD,REU
industry_to_region,IND_REU_EXTRACTIVE,REU
industry_to_region,IND_REU_BASIC_METALS,REU
industry_to_region,IND_REU_METAL_COMPONENTS,REU
industry_to_region,IND_REU_NEW_ELMA,REU
industry_to_region,IND_REU_NEW_OFMA,REU
industry_to_region,IND_REU_NEW_RATV,REU
industry_to_region,IND_REU_REP_ELMA,REU
industry_to_region,IND_REU_REP_OFMA,REU
industry_to_region,IND_REU_REP_RATV,REU
industry_to_region,IND_REU_REF_ELMA,REU
industry_to_region,IND_REU_REF_OFMA,REU
industry_to_region,IND_REU_REF_RATV,REU
industry_to_region,IND_REU_REU_ELMA,REU
industry_to_region,IND_REU_REU_OFMA,REU
industry_to_region,IND_REU_REU_RATV,REU
industry_to_region,IND_REU_REC_EE,REU
industry_to_region,IND_REU_INC_EE,REU
industry_to_region,IND_REU_CONSTRUCTION,REU
industry_to_region,IND_REU_UTIL_WASTE,REU
industry_to_region,IND_REU_TRADE,REU
industry_to_region,IND_REU_TRANSPORT,REU
industry_to_region,IND_REU_OTHER_MANUFACTURING,REU
industry_to_region,IND_REU_OTHER_SERVICES,REU
industry_to_region,IND_REU_PUBLIC_SOCIAL,REU
factor_to_region,FAC_REU_LAB,REU
factor_to_region,FAC_REU_CAP,REU
institution_to_region,INS_REU_HH,REU
institution_to_region,INS_REU_GOV,REU
institution_to_region,INS_REU_INV,REU
external_to_region,EXT_REU_EXT,REU
industry_to_route,IND_DE_NEW_ELMA,NEW
industry_to_family,IND_DE_NEW_ELMA,ELMA
industry_to_regional_family,IND_DE_NEW_ELMA,DE__ELMA
industry_to_service_target,IND_DE_NEW_ELMA,TST_DE_ELMA
industry_to_eol_target,IND_DE_NEW_ELMA,EOL_DE_ELMA
industry_to_route,IND_DE_REF_ELMA,REF
industry_to_family,IND_DE_REF_ELMA,ELMA
industry_to_regional_family,IND_DE_REF_ELMA,DE__ELMA
industry_to_service_target,IND_DE_REF_ELMA,TST_DE_ELMA
industry_to_eol_target,IND_DE_REF_ELMA,EOL_DE_ELMA
industry_to_route,IND_DE_REP_ELMA,REP
industry_to_family,IND_DE_REP_ELMA,ELMA
industry_to_regional_family,IND_DE_REP_ELMA,DE__ELMA
industry_to_service_target,IND_DE_REP_ELMA,TST_DE_ELMA
industry_to_eol_target,IND_DE_REP_ELMA,EOL_DE_ELMA
industry_to_route,IND_DE_REU_ELMA,REU
industry_to_family,IND_DE_REU_ELMA,ELMA
industry_to_regional_family,IND_DE_REU_ELMA,DE__ELMA
industry_to_service_target,IND_DE_REU_ELMA,TST_DE_ELMA
industry_to_eol_target,IND_DE_REU_ELMA,EOL_DE_ELMA
industry_to_route,IND_DE_REC_EE,REC
industry_to_family,IND_DE_REC_EE,ELMA
industry_to_regional_family,IND_DE_REC_EE,DE__ELMA
industry_to_eol_target,IND_DE_REC_EE,EOL_DE_ELMA
industry_to_material_target,IND_DE_REC_EE,METAL
industry_to_route,IND_DE_INC_EE,INC
industry_to_family,IND_DE_INC_EE,ELMA
industry_to_regional_family,IND_DE_INC_EE,DE__ELMA
industry_to_eol_target,IND_DE_INC_EE,EOL_DE_ELMA
industry_to_route,IND_DE_NEW_OFMA,NEW
industry_to_family,IND_DE_NEW_OFMA,OFMA
industry_to_regional_family,IND_DE_NEW_OFMA,DE__OFMA
industry_to_service_target,IND_DE_NEW_OFMA,TST_DE_OFMA
industry_to_eol_target,IND_DE_NEW_OFMA,EOL_DE_OFMA
industry_to_route,IND_DE_REF_OFMA,REF
industry_to_family,IND_DE_REF_OFMA,OFMA
industry_to_regional_family,IND_DE_REF_OFMA,DE__OFMA
industry_to_service_target,IND_DE_REF_OFMA,TST_DE_OFMA
industry_to_eol_target,IND_DE_REF_OFMA,EOL_DE_OFMA
industry_to_route,IND_DE_REP_OFMA,REP
industry_to_family,IND_DE_REP_OFMA,OFMA
industry_to_regional_family,IND_DE_REP_OFMA,DE__OFMA
industry_to_service_target,IND_DE_REP_OFMA,TST_DE_OFMA
industry_to_eol_target,IND_DE_REP_OFMA,EOL_DE_OFMA
industry_to_route,IND_DE_REU_OFMA,REU
industry_to_family,IND_DE_REU_OFMA,OFMA
industry_to_regional_family,IND_DE_REU_OFMA,DE__OFMA
industry_to_service_target,IND_DE_REU_OFMA,TST_DE_OFMA
industry_to_eol_target,IND_DE_REU_OFMA,EOL_DE_OFMA
industry_to_family,IND_DE_REC_EE,OFMA
industry_to_regional_family,IND_DE_REC_EE,DE__OFMA
industry_to_eol_target,IND_DE_REC_EE,EOL_DE_OFMA
industry_to_family,IND_DE_INC_EE,OFMA
industry_to_regional_family,IND_DE_INC_EE,DE__OFMA
industry_to_eol_target,IND_DE_INC_EE,EOL_DE_OFMA
industry_to_route,IND_DE_NEW_RATV,NEW
industry_to_family,IND_DE_NEW_RATV,RATV
industry_to_regional_family,IND_DE_NEW_RATV,DE__RATV
industry_to_service_target,IND_DE_NEW_RATV,TST_DE_RATV
industry_to_eol_target,IND_DE_NEW_RATV,EOL_DE_RATV
industry_to_route,IND_DE_REF_RATV,REF
industry_to_family,IND_DE_REF_RATV,RATV
industry_to_regional_family,IND_DE_REF_RATV,DE__RATV
industry_to_service_target,IND_DE_REF_RATV,TST_DE_RATV
industry_to_eol_target,IND_DE_REF_RATV,EOL_DE_RATV
industry_to_route,IND_DE_REP_RATV,REP
industry_to_family,IND_DE_REP_RATV,RATV
industry_to_regional_family,IND_DE_REP_RATV,DE__RATV
industry_to_service_target,IND_DE_REP_RATV,TST_DE_RATV
industry_to_eol_target,IND_DE_REP_RATV,EOL_DE_RATV
industry_to_route,IND_DE_REU_RATV,REU
industry_to_family,IND_DE_REU_RATV,RATV
industry_to_regional_family,IND_DE_REU_RATV,DE__RATV
industry_to_service_target,IND_DE_REU_RATV,TST_DE_RATV
industry_to_eol_target,IND_DE_REU_RATV,EOL_DE_RATV
industry_to_family,IND_DE_REC_EE,RATV
industry_to_regional_family,IND_DE_REC_EE,DE__RATV
industry_to_eol_target,IND_DE_REC_EE,EOL_DE_RATV
industry_to_family,IND_DE_INC_EE,RATV
industry_to_regional_family,IND_DE_INC_EE,DE__RATV
industry_to_eol_target,IND_DE_INC_EE,EOL_DE_RATV
industry_to_route,IND_FR_NEW_ELMA,NEW
industry_to_family,IND_FR_NEW_ELMA,ELMA
industry_to_regional_family,IND_FR_NEW_ELMA,FR__ELMA
industry_to_service_target,IND_FR_NEW_ELMA,TST_FR_ELMA
industry_to_eol_target,IND_FR_NEW_ELMA,EOL_FR_ELMA
industry_to_route,IND_FR_REF_ELMA,REF
industry_to_family,IND_FR_REF_ELMA,ELMA
industry_to_regional_family,IND_FR_REF_ELMA,FR__ELMA
industry_to_service_target,IND_FR_REF_ELMA,TST_FR_ELMA
industry_to_eol_target,IND_FR_REF_ELMA,EOL_FR_ELMA
industry_to_route,IND_FR_REP_ELMA,REP
industry_to_family,IND_FR_REP_ELMA,ELMA
industry_to_regional_family,IND_FR_REP_ELMA,FR__ELMA
industry_to_service_target,IND_FR_REP_ELMA,TST_FR_ELMA
industry_to_eol_target,IND_FR_REP_ELMA,EOL_FR_ELMA
industry_to_route,IND_FR_REU_ELMA,REU
industry_to_family,IND_FR_REU_ELMA,ELMA
industry_to_regional_family,IND_FR_REU_ELMA,FR__ELMA
industry_to_service_target,IND_FR_REU_ELMA,TST_FR_ELMA
industry_to_eol_target,IND_FR_REU_ELMA,EOL_FR_ELMA
industry_to_route,IND_FR_REC_EE,REC
industry_to_family,IND_FR_REC_EE,ELMA
industry_to_regional_family,IND_FR_REC_EE,FR__ELMA
industry_to_eol_target,IND_FR_REC_EE,EOL_FR_ELMA
industry_to_material_target,IND_FR_REC_EE,METAL
industry_to_route,IND_FR_INC_EE,INC
industry_to_family,IND_FR_INC_EE,ELMA
industry_to_regional_family,IND_FR_INC_EE,FR__ELMA
industry_to_eol_target,IND_FR_INC_EE,EOL_FR_ELMA
industry_to_route,IND_FR_NEW_OFMA,NEW
industry_to_family,IND_FR_NEW_OFMA,OFMA
industry_to_regional_family,IND_FR_NEW_OFMA,FR__OFMA
industry_to_service_target,IND_FR_NEW_OFMA,TST_FR_OFMA
industry_to_eol_target,IND_FR_NEW_OFMA,EOL_FR_OFMA
industry_to_route,IND_FR_REF_OFMA,REF
industry_to_family,IND_FR_REF_OFMA,OFMA
industry_to_regional_family,IND_FR_REF_OFMA,FR__OFMA
industry_to_service_target,IND_FR_REF_OFMA,TST_FR_OFMA
industry_to_eol_target,IND_FR_REF_OFMA,EOL_FR_OFMA
industry_to_route,IND_FR_REP_OFMA,REP
industry_to_family,IND_FR_REP_OFMA,OFMA
industry_to_regional_family,IND_FR_REP_OFMA,FR__OFMA
industry_to_service_target,IND_FR_REP_OFMA,TST_FR_OFMA
industry_to_eol_target,IND_FR_REP_OFMA,EOL_FR_OFMA
industry_to_route,IND_FR_REU_OFMA,REU
industry_to_family,IND_FR_REU_OFMA,OFMA
industry_to_regional_family,IND_FR_REU_OFMA,FR__OFMA
industry_to_service_target,IND_FR_REU_OFMA,TST_FR_OFMA
industry_to_eol_target,IND_FR_REU_OFMA,EOL_FR_OFMA
industry_to_family,IND_FR_REC_EE,OFMA
industry_to_regional_family,IND_FR_REC_EE,FR__OFMA
industry_to_eol_target,IND_FR_REC_EE,EOL_FR_OFMA
industry_to_family,IND_FR_INC_EE,OFMA
industry_to_regional_family,IND_FR_INC_EE,FR__OFMA
industry_to_eol_target,IND_FR_INC_EE,EOL_FR_OFMA
industry_to_route,IND_FR_NEW_RATV,NEW
industry_to_family,IND_FR_NEW_RATV,RATV
industry_to_regional_family,IND_FR_NEW_RATV,FR__RATV
industry_to_service_target,IND_FR_NEW_RATV,TST_FR_RATV
industry_to_eol_target,IND_FR_NEW_RATV,EOL_FR_RATV
industry_to_route,IND_FR_REF_RATV,REF
industry_to_family,IND_FR_REF_RATV,RATV
industry_to_regional_family,IND_FR_REF_RATV,FR__RATV
industry_to_service_target,IND_FR_REF_RATV,TST_FR_RATV
industry_to_eol_target,IND_FR_REF_RATV,EOL_FR_RATV
industry_to_route,IND_FR_REP_RATV,REP
industry_to_family,IND_FR_REP_RATV,RATV
industry_to_regional_family,IND_FR_REP_RATV,FR__RATV
industry_to_service_target,IND_FR_REP_RATV,TST_FR_RATV
industry_to_eol_target,IND_FR_REP_RATV,EOL_FR_RATV
industry_to_route,IND_FR_REU_RATV,REU
industry_to_family,IND_FR_REU_RATV,RATV
industry_to_regional_family,IND_FR_REU_RATV,FR__RATV
industry_to_service_target,IND_FR_REU_RATV,TST_FR_RATV
industry_to_eol_target,IND_FR_REU_RATV,EOL_FR_RATV
industry_to_family,IND_FR_REC_EE,RATV
industry_to_regional_family,IND_FR_REC_EE,FR__RATV
industry_to_eol_target,IND_FR_REC_EE,EOL_FR_RATV
industry_to_family,IND_FR_INC_EE,RATV
industry_to_regional_family,IND_FR_INC_EE,FR__RATV
industry_to_eol_target,IND_FR_INC_EE,EOL_FR_RATV
industry_to_route,IND_IT_NEW_ELMA,NEW
industry_to_family,IND_IT_NEW_ELMA,ELMA
industry_to_regional_family,IND_IT_NEW_ELMA,IT__ELMA
industry_to_service_target,IND_IT_NEW_ELMA,TST_IT_ELMA
industry_to_eol_target,IND_IT_NEW_ELMA,EOL_IT_ELMA
industry_to_route,IND_IT_REF_ELMA,REF
industry_to_family,IND_IT_REF_ELMA,ELMA
industry_to_regional_family,IND_IT_REF_ELMA,IT__ELMA
industry_to_service_target,IND_IT_REF_ELMA,TST_IT_ELMA
industry_to_eol_target,IND_IT_REF_ELMA,EOL_IT_ELMA
industry_to_route,IND_IT_REP_ELMA,REP
industry_to_family,IND_IT_REP_ELMA,ELMA
industry_to_regional_family,IND_IT_REP_ELMA,IT__ELMA
industry_to_service_target,IND_IT_REP_ELMA,TST_IT_ELMA
industry_to_eol_target,IND_IT_REP_ELMA,EOL_IT_ELMA
industry_to_route,IND_IT_REU_ELMA,REU
industry_to_family,IND_IT_REU_ELMA,ELMA
industry_to_regional_family,IND_IT_REU_ELMA,IT__ELMA
industry_to_service_target,IND_IT_REU_ELMA,TST_IT_ELMA
industry_to_eol_target,IND_IT_REU_ELMA,EOL_IT_ELMA
industry_to_route,IND_IT_REC_EE,REC
industry_to_family,IND_IT_REC_EE,ELMA
industry_to_regional_family,IND_IT_REC_EE,IT__ELMA
industry_to_eol_target,IND_IT_REC_EE,EOL_IT_ELMA
industry_to_material_target,IND_IT_REC_EE,METAL
industry_to_route,IND_IT_INC_EE,INC
industry_to_family,IND_IT_INC_EE,ELMA
industry_to_regional_family,IND_IT_INC_EE,IT__ELMA
industry_to_eol_target,IND_IT_INC_EE,EOL_IT_ELMA
